Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Daytime,131.0,123.7,No,No,Yes,Male,Yes,0,6,5,11.666666666666666,0,6,5,12.2,Graduate
Daytime,135.0,129.8,Yes,No,Yes,Male,No,0,7,7,13.175,0,8,8,14.875,Graduate
Daytime,136.0,123.8,Yes,No,Yes,Male,Yes,0,8,7,13.314285714285717,0,8,7,13.314285714285717,Graduate
Daytime,132.0,126.4,Yes,No,Yes,Male,Yes,0,5,3,10.6,0,5,3,10.5,Graduate
Daytime,120.0,115.1,No,No,Yes,Male,Yes,0,6,4,12.0,0,6,4,10.75,Enrolled
Daytime,144.0,138.4,No,No,Yes,Male,No,0,6,6,13.428571428571429,0,6,6,14.142857142857142,Graduate
Daytime,129.0,118.2,Yes,No,Yes,Male,Yes,0,5,4,13.25,0,5,5,15.571428571428571,Graduate
Daytime,136.0,121.7,Yes,No,Yes,Male,No,0,6,2,13.0,0,6,0,0.0,Dropout
Daytime,125.0,118.0,No,No,Yes,Male,Yes,0,6,6,14.333333333333334,0,6,6,14.0,Enrolled
Daytime,125.0,119.8,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,154.0,164.9,No,No,Yes,Male,No,0,6,6,14.0,0,6,6,13.166666666666666,Graduate
Daytime,100.0,100.0,Yes,No,Yes,Male,Yes,1,2,2,12.0,1,6,6,12.833333333333334,Graduate
Daytime,124.0,121.6,No,No,Yes,Male,No,0,6,5,12.333333333333334,0,6,5,10.6,Enrolled
Daytime,126.0,120.4,Yes,No,Yes,Male,No,0,6,5,11.8,0,6,5,10.4,Graduate
Daytime,124.0,117.8,No,No,Yes,Male,Yes,0,8,7,12.791428571428572,0,8,7,12.791428571428572,Graduate
Daytime,150.0,110.0,No,No,Yes,Male,No,4,8,8,11.625,3,7,5,11.2,Graduate
Daytime,133.0,128.8,Yes,No,Yes,Male,Yes,0,7,6,11.994444444444444,0,8,7,12.43142857142857,Graduate
Daytime,126.0,116.6,Yes,No,Yes,Male,No,0,6,5,11.6,0,6,5,12.2,Graduate
Evening,120.0,120.0,No,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,175.0,157.5,Yes,No,Yes,Male,No,0,6,6,13.166666666666666,0,6,6,13.166666666666666,Dropout
Daytime,141.0,136.3,Yes,No,Yes,Male,No,0,8,7,14.1,0,8,7,14.1,Graduate
Daytime,133.0,121.5,Yes,No,Yes,Male,Yes,0,7,6,12.396666666666668,0,8,7,12.94285714285714,Graduate
Daytime,143.0,133.9,No,No,Yes,Male,No,0,7,7,15.014285714285714,0,8,8,16.0875,Graduate
Daytime,141.0,136.8,Yes,No,Yes,Male,Yes,0,0,0,0.0,0,0,0,0.0,Graduate
Daytime,134.0,133.5,Yes,No,Yes,Male,No,0,7,7,14.05,0,8,8,15.1,Graduate
Daytime,138.0,130.0,Yes,No,Yes,Male,No,0,7,7,14.85,0,8,8,15.2,Dropout
Daytime,140.0,140.0,Yes,No,Yes,Male,No,0,6,6,13.0,0,6,5,13.0,Graduate
Daytime,142.0,132.7,Yes,No,Yes,Male,Yes,0,7,7,14.7875,0,8,8,15.8625,Graduate
Daytime,118.0,117.8,No,No,Yes,Male,Yes,0,7,7,13.7,0,8,7,14.671428571428574,Graduate
Daytime,131.0,126.1,Yes,No,Yes,Male,Yes,0,7,7,12.495714285714286,0,8,7,12.242857142857144,Dropout
Daytime,130.0,120.0,No,No,Yes,Male,No,0,7,6,14.566666666666668,0,7,6,14.566666666666668,Graduate
Daytime,133.1,100.0,Yes,Yes,No,Male,No,0,5,5,11.2,0,5,4,11.25,Dropout
Daytime,130.0,116.8,No,No,Yes,Male,No,0,8,7,12.685714285714283,0,8,7,12.685714285714283,Graduate
Daytime,130.0,128.3,No,Yes,No,Male,No,5,9,7,13.571428571428571,4,9,4,13.25,Dropout
Daytime,133.1,117.0,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Evening,130.0,131.5,No,No,Yes,Male,No,0,6,5,11.0,0,6,6,11.166666666666666,Graduate
Daytime,149.0,134.8,No,No,Yes,Male,No,0,8,8,14.445,0,8,8,14.445,Graduate
Daytime,163.0,146.6,Yes,Yes,Yes,Male,No,0,6,5,13.6,0,6,4,11.75,Enrolled
Evening,130.0,130.0,Yes,Yes,No,Male,No,7,12,11,14.0,4,10,8,14.625,Dropout
Daytime,145.0,127.5,Yes,No,Yes,Male,Yes,0,7,6,13.416666666666666,0,7,6,13.416666666666666,Graduate
Daytime,130.0,123.0,No,No,Yes,Male,No,0,5,5,12.333333333333334,0,5,5,11.4,Graduate
Daytime,128.0,100.0,Yes,No,Yes,Male,No,0,7,7,13.1,0,8,8,14.8125,Graduate
Daytime,111.0,114.2,Yes,No,Yes,Male,No,0,6,4,13.2,0,6,5,12.8,Graduate
Daytime,140.0,123.5,Yes,No,Yes,Male,Yes,0,8,8,14.75,0,8,8,14.75,Graduate
Daytime,140.0,144.3,Yes,No,Yes,Male,Yes,3,6,6,13.142857142857142,2,6,6,14.333333333333334,Graduate
Daytime,145.0,142.2,No,No,Yes,Male,No,0,6,4,12.5,0,6,5,12.5,Enrolled
Daytime,151.0,161.9,No,No,Yes,Male,No,0,5,4,13.75,0,5,5,14.857142857142858,Graduate
Daytime,132.0,135.9,No,No,Yes,Male,No,0,6,5,12.4,0,6,6,13.0,Graduate
Daytime,116.0,110.1,Yes,No,Yes,Male,No,0,6,6,13.333333333333334,0,6,6,12.0,Graduate
Daytime,120.0,122.5,No,No,No,Male,No,11,11,11,11.727272727272728,8,8,8,12.0,Dropout
Daytime,158.0,138.1,Yes,No,Yes,Male,No,0,6,4,12.5,0,6,1,14.0,Dropout
Daytime,116.0,117.3,Yes,Yes,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Dropout
Daytime,112.0,106.8,Yes,No,Yes,Male,Yes,0,7,6,13.533333333333331,0,8,7,13.614285714285714,Graduate
Daytime,126.0,120.1,No,No,Yes,Male,Yes,0,6,6,13.166666666666666,0,6,6,12.666666666666666,Graduate
Daytime,120.0,116.5,Yes,No,Yes,Male,Yes,0,6,5,13.2,0,6,5,11.0,Graduate
Daytime,117.0,120.0,Yes,No,Yes,Male,No,0,6,5,12.2,0,6,4,12.6,Enrolled
Daytime,153.0,139.7,Yes,No,Yes,Male,Yes,0,7,7,13.428571428571429,0,7,7,14.857142857142858,Graduate
Daytime,124.0,123.7,Yes,No,Yes,Male,Yes,1,6,6,12.714285714285714,0,6,6,12.625,Graduate
Daytime,127.0,116.5,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,126.0,122.2,No,No,Yes,Male,Yes,0,6,6,13.666666666666666,0,6,6,13.666666666666666,Graduate
Daytime,133.1,146.0,No,Yes,Yes,Male,No,0,6,5,11.0,0,6,6,13.166666666666666,Graduate
Daytime,114.0,108.8,Yes,No,Yes,Male,No,0,7,5,11.4,0,7,6,13.333333333333334,Enrolled
Daytime,133.0,133.0,No,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Enrolled
Daytime,130.0,123.8,No,No,Yes,Male,No,0,5,4,12.0,0,5,5,12.0,Graduate
Daytime,127.0,120.0,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,143.0,126.9,Yes,No,Yes,Male,No,0,6,5,11.0,0,6,6,11.666666666666666,Graduate
Daytime,130.0,121.3,Yes,No,Yes,Male,No,0,6,5,12.0,0,6,6,11.571428571428571,Dropout
Daytime,136.0,129.0,Yes,No,Yes,Male,Yes,0,7,7,13.308571428571428,0,8,8,12.55,Graduate
Daytime,125.0,114.9,Yes,Yes,No,Male,No,0,6,3,13.666666666666666,0,6,3,10.666666666666666,Dropout
Daytime,110.0,106.5,Yes,Yes,No,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,130.0,133.9,Yes,No,Yes,Male,No,0,6,5,12.2,0,6,4,11.25,Graduate
Daytime,135.0,124.9,No,No,Yes,Male,Yes,0,6,6,12.666666666666666,0,6,6,12.833333333333334,Graduate
Daytime,133.0,128.5,Yes,No,Yes,Male,Yes,0,8,8,14.07125,0,8,8,14.07125,Graduate
Daytime,122.0,126.2,Yes,No,Yes,Male,No,0,5,4,14.25,0,5,5,13.2,Dropout
Daytime,122.0,121.7,Yes,No,No,Male,No,0,6,0,0.0,0,2,0,0.0,Dropout
Daytime,121.0,120.0,Yes,No,Yes,Male,No,0,6,3,12.0,0,6,4,10.25,Enrolled
Daytime,123.0,113.2,No,No,Yes,Male,No,3,10,6,11.166666666666666,4,10,7,10.571428571428571,Enrolled
Daytime,128.0,120.3,Yes,No,Yes,Male,No,0,6,2,13.0,0,6,5,11.6,Graduate
Daytime,139.0,127.8,Yes,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Dropout
Daytime,124.0,123.3,Yes,No,Yes,Male,Yes,0,8,7,14.901428571428571,0,8,7,14.901428571428571,Dropout
Daytime,135.0,126.3,Yes,Yes,Yes,Male,Yes,0,7,7,12.65,0,8,8,12.445555555555554,Graduate
Evening,110.0,128.2,No,No,No,Male,No,7,12,7,11.0,5,5,5,10.6,Dropout
Daytime,138.0,134.9,Yes,No,Yes,Male,No,0,5,4,12.4,0,5,5,12.666666666666666,Graduate
Daytime,140.0,140.0,No,No,Yes,Male,No,0,6,6,12.0,0,6,6,12.666666666666666,Graduate
Daytime,126.0,115.5,Yes,No,Yes,Male,Yes,0,7,7,12.135714285714286,0,8,7,13.328571428571427,Graduate
Daytime,113.0,106.7,Yes,No,Yes,Male,Yes,0,7,5,12.62,0,7,6,12.5,Enrolled
Evening,120.0,140.0,No,No,Yes,Male,No,0,5,3,10.666666666666666,0,5,3,11.333333333333334,Enrolled
Daytime,145.0,136.6,No,No,Yes,Male,Yes,0,7,6,13.766666666666666,0,8,7,14.051428571428572,Graduate
Daytime,124.0,119.3,Yes,No,Yes,Male,No,0,8,8,13.11625,0,8,8,13.11625,Graduate
Daytime,160.0,152.0,Yes,No,No,Male,No,0,5,0,0.0,0,6,0,0.0,Dropout
Daytime,138.0,144.3,No,No,Yes,Male,No,0,7,6,12.7,0,8,7,13.571428571428571,Graduate
Daytime,130.0,159.0,Yes,No,Yes,Male,No,0,7,7,11.857142857142858,0,8,5,11.7,Enrolled
Daytime,127.0,129.5,Yes,No,Yes,Male,Yes,0,7,6,12.333333333333334,0,7,6,12.333333333333334,Graduate
Daytime,170.0,140.0,Yes,No,Yes,Male,No,0,6,4,15.75,0,6,5,16.4,Enrolled
Daytime,111.0,105.4,No,No,Yes,Male,No,0,5,5,13.333333333333334,0,5,5,13.2,Graduate
Daytime,100.0,136.0,Yes,No,Yes,Male,No,4,7,7,14.355555555555554,5,8,8,13.49375,Graduate
Daytime,160.0,160.0,No,Yes,Yes,Male,Yes,0,6,6,13.0,0,6,5,13.0,Graduate
Daytime,152.0,139.1,No,No,Yes,Male,Yes,0,6,6,12.833333333333334,0,6,6,13.5,Graduate
Daytime,144.0,126.9,No,No,Yes,Male,Yes,0,5,5,13.2,0,5,4,13.0,Graduate
Daytime,133.8,184.0,No,No,Yes,Male,No,0,7,7,17.005555555555556,1,8,8,16.582222222222224,Graduate
Daytime,125.0,125.0,Yes,Yes,No,Male,Yes,0,6,5,10.6,0,6,5,11.0,Graduate
Daytime,150.0,138.5,No,No,Yes,Male,Yes,0,5,5,14.0,0,5,5,13.6,Graduate
Daytime,143.0,133.5,Yes,No,Yes,Male,Yes,0,8,7,12.114285714285714,0,8,7,12.114285714285714,Graduate
Daytime,145.0,141.5,Yes,No,Yes,Male,Yes,0,8,8,13.05875,0,8,8,13.05875,Graduate
Daytime,120.0,130.0,Yes,No,Yes,Male,No,4,8,7,13.285714285714286,4,8,7,13.285714285714286,Graduate
Daytime,138.0,131.0,Yes,No,Yes,Male,No,0,5,4,11.0,0,5,3,10.666666666666666,Enrolled
Daytime,145.0,145.0,No,No,Yes,Male,Yes,0,7,7,14.071428571428571,0,8,8,15.1625,Graduate
Daytime,122.0,114.3,No,No,No,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,110.0,108.3,No,No,No,Male,No,4,9,4,11.25,3,10,3,11.0,Dropout
Daytime,136.0,125.2,Yes,No,Yes,Male,Yes,0,6,6,14.0,0,6,6,13.625,Graduate
Daytime,145.0,131.7,Yes,No,Yes,Male,Yes,0,6,6,12.166666666666666,0,6,3,11.666666666666666,Dropout
Daytime,141.0,126.3,Yes,No,Yes,Male,No,0,8,7,13.297142857142855,0,8,7,13.297142857142855,Graduate
Daytime,149.0,147.6,Yes,No,Yes,Male,No,0,6,6,13.923076923076923,0,6,6,14.25,Graduate
Daytime,130.0,125.1,Yes,No,Yes,Male,No,0,7,7,13.37,0,8,7,12.833333333333334,Graduate
Daytime,121.0,123.8,No,No,Yes,Male,Yes,0,5,5,12.4,0,5,3,11.0,Enrolled
Daytime,128.0,130.8,Yes,No,Yes,Male,No,0,5,4,15.0,0,5,4,13.75,Dropout
Daytime,152.0,154.1,No,Yes,Yes,Male,Yes,0,6,6,13.333333333333334,0,6,6,12.571428571428571,Graduate
Daytime,132.0,122.6,Yes,No,Yes,Male,Yes,0,5,3,12.0,0,5,4,12.625,Enrolled
Evening,107.0,103.5,Yes,No,Yes,Male,No,0,6,5,13.4,0,6,5,12.2,Graduate
Daytime,131.0,132.8,Yes,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Enrolled
Evening,141.0,100.0,No,No,Yes,Male,No,1,5,4,11.5,1,5,5,11.4,Graduate
Daytime,120.0,115.8,No,No,Yes,Male,No,0,7,6,12.0,0,7,6,12.166666666666666,Enrolled
Daytime,148.0,133.8,No,No,Yes,Male,No,0,8,7,13.485714285714284,0,8,7,13.485714285714284,Graduate
Daytime,130.0,118.5,No,No,Yes,Male,Yes,0,6,6,12.0,0,6,6,11.285714285714286,Graduate
Daytime,145.0,150.3,Yes,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Dropout
Daytime,112.0,107.8,Yes,No,Yes,Male,No,0,5,3,10.333333333333334,0,5,3,14.428571428571429,Enrolled
Daytime,138.0,127.5,Yes,No,Yes,Male,No,0,7,5,12.94,0,7,5,13.76,Enrolled
Daytime,135.0,120.5,Yes,No,Yes,Male,No,0,8,7,13.258571428571427,0,8,7,13.258571428571427,Graduate
Daytime,118.0,117.3,Yes,No,Yes,Male,No,0,5,4,12.25,0,5,4,12.0,Enrolled
Daytime,123.0,120.6,Yes,No,No,Male,No,0,6,3,11.666666666666666,0,6,1,10.0,Dropout
Daytime,126.0,118.7,Yes,No,Yes,Male,Yes,0,6,6,13.571428571428571,0,6,6,12.5,Graduate
Daytime,150.0,130.8,No,No,Yes,Male,Yes,0,6,5,11.8,0,6,5,11.833333333333334,Graduate
Daytime,121.0,112.6,Yes,No,Yes,Male,Yes,0,5,5,14.2,0,5,5,13.285714285714286,Graduate
Evening,133.1,117.2,No,No,Yes,Male,No,0,5,5,11.0,0,5,5,11.8,Graduate
Daytime,130.0,130.0,Yes,No,Yes,Male,No,0,7,4,13.625,0,7,7,12.6375,Enrolled
Daytime,139.0,131.8,Yes,No,Yes,Male,No,0,8,7,14.652857142857142,0,8,7,14.652857142857142,Graduate
Evening,160.0,97.0,No,No,Yes,Male,Yes,0,6,6,11.333333333333334,0,6,6,11.333333333333334,Graduate
Daytime,110.0,130.0,No,Yes,No,Male,No,0,7,4,13.7,0,7,0,0.0,Dropout
Evening,140.0,148.0,No,No,Yes,Male,No,7,11,11,13.727272727272728,4,8,8,14.75,Graduate
Daytime,130.0,103.4,No,No,Yes,Male,No,4,7,7,11.75,3,8,7,11.142857142857142,Dropout
Daytime,132.0,127.1,No,No,Yes,Female,No,0,6,6,12.333333333333334,0,6,5,13.0,Graduate
Daytime,139.0,124.0,Yes,No,Yes,Male,Yes,0,6,6,14.0,0,6,6,13.857142857142858,Dropout
Daytime,135.0,121.4,No,No,Yes,Female,No,0,5,4,11.5,0,5,4,11.75,Graduate
Daytime,117.0,118.1,No,No,Yes,Female,No,0,5,5,11.2,0,5,5,13.2,Graduate
Daytime,137.0,121.3,Yes,No,Yes,Female,Yes,0,8,7,15.07,0,8,7,15.07,Graduate
Daytime,144.0,119.5,No,No,Yes,Female,No,0,5,1,10.0,0,5,1,12.0,Dropout
Evening,130.0,115.2,No,No,Yes,Female,No,0,5,4,12.0,0,5,5,12.666666666666666,Enrolled
Daytime,140.0,130.2,Yes,No,Yes,Female,No,0,6,4,13.0,0,6,4,12.6,Graduate
Daytime,130.0,130.0,Yes,No,Yes,Female,No,0,6,4,11.0,0,6,3,11.25,Dropout
Daytime,130.0,126.9,Yes,No,Yes,Male,No,0,6,6,13.571428571428571,0,6,5,12.166666666666666,Graduate
Daytime,152.0,168.5,Yes,No,Yes,Female,No,0,6,5,14.6,0,6,5,14.2,Graduate
Daytime,133.1,130.0,No,Yes,Yes,Male,No,0,7,3,11.833333333333334,0,7,2,10.0,Dropout
Daytime,140.0,122.8,No,No,Yes,Male,Yes,0,7,7,12.625,0,8,8,12.5125,Graduate
Daytime,133.1,110.0,No,No,Yes,Male,No,0,7,4,11.5,0,7,3,12.333333333333334,Dropout
Daytime,140.0,127.1,Yes,No,Yes,Male,No,0,5,4,13.25,0,5,4,10.5,Graduate
Daytime,133.1,108.5,Yes,No,Yes,Male,No,0,7,7,12.60625,0,8,6,11.9,Graduate
Daytime,140.0,138.2,No,Yes,No,Male,No,7,10,8,13.75,4,9,5,13.2,Dropout
Daytime,133.1,96.0,Yes,No,Yes,Male,No,0,7,6,13.598333333333334,0,8,6,11.933333333333332,Enrolled
Daytime,135.0,124.5,No,No,Yes,Male,Yes,0,6,5,11.142857142857142,0,6,6,12.285714285714286,Graduate
Daytime,120.0,120.0,Yes,No,Yes,Male,No,7,11,11,12.7,6,10,10,12.96818181818182,Enrolled
Daytime,140.0,132.3,Yes,No,Yes,Male,No,0,5,1,10.0,0,5,1,11.0,Dropout
Daytime,128.0,120.7,Yes,Yes,Yes,Male,No,0,6,6,11.666666666666666,0,6,4,11.5,Graduate
Daytime,141.0,132.6,No,No,Yes,Male,Yes,0,6,6,14.0,0,6,6,13.142857142857142,Graduate
Daytime,140.0,140.0,No,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,139.0,124.5,Yes,No,Yes,Male,No,0,8,7,12.04142857142857,0,8,7,12.04142857142857,Graduate
Daytime,142.0,142.0,Yes,No,Yes,Male,Yes,0,0,0,0.0,0,0,0,0.0,Graduate
Daytime,130.0,130.0,No,No,Yes,Male,No,12,13,13,13.76923076923077,9,12,12,14.583333333333334,Graduate
Daytime,130.0,144.0,No,No,Yes,Male,No,13,18,18,15.444444444444445,11,13,13,15.307692307692308,Graduate
Daytime,125.0,128.5,Yes,No,Yes,Male,No,0,7,6,11.5,0,7,7,12.714285714285714,Enrolled
Daytime,140.0,140.0,No,No,No,Male,No,0,3,2,10.0,0,6,0,0.0,Dropout
Daytime,120.0,113.9,Yes,No,Yes,Male,No,0,6,4,12.25,0,6,3,10.333333333333334,Dropout
Daytime,147.0,137.2,No,No,No,Male,No,0,6,6,14.5,0,6,6,15.166666666666666,Graduate
Daytime,140.0,140.0,Yes,No,Yes,Male,No,0,6,6,15.571428571428571,0,6,6,16.375,Graduate
Daytime,161.0,152.3,No,No,Yes,Male,No,0,6,6,15.571428571428571,0,6,6,14.714285714285714,Graduate
Evening,133.1,112.5,No,No,Yes,Male,No,0,6,5,13.8,0,6,6,12.166666666666666,Graduate
Daytime,150.0,101.0,No,Yes,No,Male,No,0,5,3,10.666666666666666,0,5,2,14.8,Dropout
Daytime,113.0,112.3,Yes,Yes,Yes,Male,Yes,0,6,5,11.6,0,6,4,11.75,Graduate
Daytime,140.0,114.0,Yes,No,No,Male,No,0,6,1,13.0,0,6,0,0.0,Dropout
Daytime,130.0,130.0,No,No,Yes,Male,No,0,5,3,12.0,0,5,4,13.625,Graduate
Daytime,120.0,121.5,No,Yes,Yes,Male,No,11,14,12,12.333333333333334,11,14,12,12.333333333333334,Graduate
Daytime,133.1,120.0,No,Yes,Yes,Male,No,0,6,6,12.875,0,6,6,12.9,Enrolled
Evening,130.0,130.0,No,No,No,Male,No,0,6,1,11.0,0,6,0,0.0,Dropout
Daytime,120.0,125.7,No,Yes,No,Male,No,0,6,4,12.25,0,6,4,10.5,Dropout
Daytime,140.0,128.0,Yes,No,No,Male,No,0,7,0,0.0,0,8,0,0.0,Dropout
Daytime,123.0,113.2,No,No,Yes,Male,Yes,0,6,4,10.75,0,6,5,11.5,Enrolled
Daytime,133.1,120.0,No,No,Yes,Male,Yes,0,8,8,13.63,0,8,8,13.63,Graduate
Daytime,130.0,117.8,Yes,No,Yes,Male,No,0,5,3,13.0,0,5,4,11.5,Graduate
Daytime,126.0,121.3,Yes,No,Yes,Male,Yes,0,7,6,13.533333333333331,0,7,7,12.228571428571428,Enrolled
Daytime,176.0,169.7,No,No,Yes,Male,Yes,0,7,7,16.9,0,8,8,16.37777777777778,Graduate
Daytime,124.0,117.7,Yes,No,Yes,Male,No,0,6,5,12.0,0,6,4,12.0,Graduate
Evening,120.0,121.8,Yes,No,Yes,Male,No,3,6,6,12.5,2,6,6,13.285714285714286,Graduate
Daytime,140.0,128.3,Yes,No,Yes,Male,No,0,8,7,12.764285714285714,0,8,7,12.764285714285714,Graduate
Daytime,143.0,132.2,Yes,No,Yes,Male,Yes,0,5,5,13.75,0,5,5,12.166666666666666,Graduate
Daytime,136.0,134.3,Yes,Yes,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Dropout
Daytime,132.0,123.4,No,No,Yes,Male,Yes,0,7,7,14.604285714285712,0,8,8,15.68333333333333,Graduate
Evening,133.1,121.7,No,Yes,No,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Evening,100.0,130.0,No,Yes,Yes,Male,Yes,0,6,5,13.833333333333334,0,6,6,12.5,Graduate
Daytime,137.0,126.5,Yes,No,Yes,Male,Yes,0,8,8,13.57625,0,8,8,13.57625,Graduate
Daytime,153.0,159.7,Yes,No,Yes,Male,Yes,0,6,6,15.142857142857142,0,6,6,15.833333333333334,Graduate
Daytime,160.0,151.3,No,No,Yes,Male,No,0,5,3,10.666666666666666,0,5,5,11.6,Graduate
Daytime,145.0,138.0,Yes,No,Yes,Male,No,0,6,5,11.2,0,6,6,12.0,Graduate
Daytime,137.0,126.5,Yes,No,Yes,Male,No,0,8,8,13.76375,0,8,8,13.76375,Graduate
Daytime,140.0,140.0,Yes,Yes,Yes,Male,No,7,9,8,13.25,4,9,5,12.2,Enrolled
Daytime,120.0,112.3,No,No,Yes,Male,Yes,0,6,5,10.714285714285714,0,6,5,12.2,Graduate
Daytime,122.0,127.3,Yes,Yes,Yes,Male,No,0,6,6,12.166666666666666,0,6,6,11.666666666666666,Graduate
Daytime,130.0,130.0,Yes,No,Yes,Male,No,1,7,6,14.357142857142858,1,7,6,14.357142857142858,Graduate
Daytime,133.1,115.0,Yes,No,Yes,Male,No,0,6,6,12.833333333333334,0,6,6,12.666666666666666,Graduate
Daytime,150.0,131.5,Yes,No,Yes,Male,No,0,8,7,13.925714285714283,0,8,7,13.925714285714283,Graduate
Evening,133.1,125.7,No,No,Yes,Male,No,0,5,2,12.0,0,5,3,11.0,Dropout
Daytime,141.0,126.8,Yes,No,Yes,Male,No,0,7,7,13.44285714285714,0,8,8,13.744444444444444,Graduate
Daytime,146.0,132.4,Yes,No,Yes,Female,No,0,5,1,16.0,0,5,0,0.0,Dropout
Daytime,150.0,150.0,Yes,No,Yes,Female,No,0,6,6,13.125,0,6,6,13.2,Graduate
Daytime,133.1,95.0,No,No,Yes,Female,No,0,6,0,0.0,0,6,0,0.0,Dropout
Evening,120.0,128.2,No,No,No,Female,No,5,9,5,11.4,4,4,4,11.0,Dropout
Daytime,150.0,130.0,No,No,No,Female,No,0,4,2,11.0,0,5,3,11.666666666666666,Dropout
Daytime,133.1,100.0,No,No,Yes,Female,No,0,5,1,11.0,0,5,1,10.0,Enrolled
Daytime,140.0,159.9,Yes,No,Yes,Male,No,2,6,5,13.666666666666666,2,6,5,13.0,Graduate
Evening,140.0,100.0,No,No,No,Male,No,2,6,4,11.75,0,5,1,10.0,Dropout
Daytime,133.1,116.5,No,No,Yes,Male,No,0,7,1,10.0,0,7,1,13.0,Dropout
Daytime,128.0,120.0,No,No,Yes,Male,Yes,0,6,6,13.5,0,6,6,12.833333333333334,Graduate
Daytime,117.0,117.0,Yes,Yes,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,140.0,140.0,Yes,Yes,Yes,Male,No,0,6,1,12.0,0,6,1,11.0,Enrolled
Daytime,124.0,118.1,Yes,No,No,Male,No,0,6,3,13.0,0,6,5,11.8,Dropout
Daytime,158.0,153.5,Yes,No,Yes,Male,No,0,6,6,14.833333333333334,0,6,6,16.0,Graduate
Daytime,137.0,127.9,Yes,No,Yes,Male,No,0,6,6,11.833333333333334,0,6,6,12.857142857142858,Graduate
Daytime,123.0,118.8,Yes,No,Yes,Male,Yes,0,6,5,12.0,0,6,5,12.333333333333334,Graduate
Daytime,126.0,126.7,Yes,No,Yes,Male,No,0,6,4,12.75,0,6,6,11.333333333333334,Graduate
Daytime,170.0,170.0,Yes,No,Yes,Male,No,0,5,0,0.0,0,5,4,14.75,Enrolled
Daytime,133.1,110.0,Yes,No,Yes,Male,Yes,0,6,0,0.0,0,6,1,10.0,Dropout
Daytime,115.0,115.0,Yes,No,Yes,Male,No,0,6,6,12.0,0,6,6,12.857142857142858,Graduate
Daytime,132.0,119.0,Yes,No,Yes,Male,No,0,7,7,11.677777777777775,0,8,8,13.8,Graduate
Daytime,132.0,121.8,Yes,No,Yes,Male,Yes,0,8,7,13.6,0,8,7,13.6,Graduate
Daytime,143.0,133.4,Yes,No,Yes,Male,No,0,6,6,16.0,0,6,6,15.875,Graduate
Daytime,137.0,131.4,Yes,No,Yes,Male,No,0,6,5,11.8,0,6,6,11.5,Graduate
Daytime,130.0,135.0,No,Yes,Yes,Female,No,0,5,0,0.0,2,6,2,14.0,Dropout
Daytime,121.0,122.8,No,No,Yes,Female,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,130.0,140.0,No,Yes,Yes,Male,Yes,0,6,6,16.142857142857142,0,6,6,16.2,Graduate
Daytime,135.0,125.3,Yes,No,Yes,Male,Yes,0,8,7,11.785714285714286,0,8,7,11.785714285714286,Graduate
Daytime,137.0,126.3,Yes,No,Yes,Male,Yes,0,8,8,13.42375,0,8,8,13.42375,Graduate
Daytime,100.0,100.0,No,No,Yes,Male,No,0,6,6,12.5,0,6,5,14.166666666666666,Graduate
Daytime,127.0,121.3,Yes,No,Yes,Male,Yes,0,8,7,12.464285714285714,0,8,7,12.464285714285714,Graduate
Evening,140.0,135.0,No,Yes,Yes,Male,No,6,11,8,12.375,3,9,5,12.6,Enrolled
Daytime,140.0,120.0,No,No,Yes,Male,No,0,6,1,10.0,0,6,0,0.0,Dropout
Daytime,121.0,113.7,No,No,Yes,Male,No,0,6,5,12.6,0,6,6,12.428571428571429,Enrolled
Daytime,131.0,129.7,Yes,No,Yes,Male,No,0,5,5,12.6,0,5,4,12.4,Graduate
Daytime,151.0,132.1,Yes,No,Yes,Male,No,0,5,2,10.0,0,5,4,12.0,Dropout
Daytime,130.0,120.3,No,No,Yes,Male,No,0,7,0,0.0,0,6,0,0.0,Dropout
